,ASP_col
1367,171.3
1368,197.2
1369,215.3
1370,227.3
1371,231.0
1372,230.1
1373,224.1
1374,216.6
1375,207.2
1376,197.3
1377,187.2
1378,179.3
1379,172.6
1380,166.3
1381,161.2
1382,156.4
1383,151.2
1384,146.4
1385,142.5
1386,138.3
1387,135.0
1388,132.7
1389,129.7
1390,127.7
1391,124.6
1392,122.9
1393,119.12
1394,115.8
1395,111.6
1396,107.5
1397,102.4
1398,98.3
1399,93.1
1400,88.5
1401,83.5
1402,79.1
1403,74.12
1404,70.7
1405,66.6
1406,62.11
1407,59.11
1408,56.16
1409,53.12
1410,51.17
1411,49.17
1412,47.22
1413,46.25
1414,45.23
1415,45.24
1416,44.25
1417,43.3
1418,43.31
1419,43.32
1420,43.33
1421,43.34
1422,43.35
1423,43.36
1424,43.37
1425,42.3
1426,41.27
1427,41.28
1428,42.31
1429,48.18
1430,59.12
1431,76.7
1432,100.13
1433,126.6
1434,154.5
1435,179.4
1436,198.5
1437,210.4
1438,217.7
1439,217.8
1440,120.14
1441,119.13
1442,118.8
1443,117.2
1444,116.6
1445,114.9
1446,111.7
1447,108.8
1448,104.6
1449,100.14
1450,95.8
1451,90.8
1452,84.1
1453,78.4
1454,73.3
1455,67.7
1456,62.12
1457,58.7
1458,55.11
1459,52.19
1460,50.14
1461,49.18
1462,48.19
1463,47.23
1464,47.24
1465,46.26
1466,46.27
1467,46.28
1468,46.29
1469,46.3
1470,47.25
1471,47.26
1472,47.27
1473,47.28
1474,47.29
1475,47.3
1476,48.2
1477,51.18
1478,58.8
1479,72.4
1480,91.5
1481,116.7
1482,143.2
1483,170.4
1484,193.3
1485,209.5
1486,219.4
1487,222.2
1488,219.5
1489,212.1
1490,203.4
1491,193.4
1492,182.3
1493,172.7
1494,163.4
1495,155.4
1496,149.4
1497,143.3
1498,138.4
1499,133.5
1500,129.8
1501,126.7
1502,123.12
1503,121.9
1504,119.14
1505,119.15
1506,118.9
1507,117.21
1508,116.8
1509,113.1
1510,110.4
1511,106.5
1512,101.3
1513,97.4
1514,93.2
1515,88.6
1516,83.6
1517,78.5
1518,74.13
1519,70.8
1520,66.7
1521,63.7
1522,60.9
1523,57.5
1524,56.17
1525,54.13
1526,53.13
1527,52.2
1528,52.21
1529,51.19
1530,51.2
1531,51.21
1532,51.22
1533,50.15
1534,50.16
1535,49.19
1536,48.21
1537,47.31
1538,47.32
1539,50.17
1540,58.9
1541,72.5
1542,92.3
1543,116.9
1544,142.6
1545,134.9
1546,129.9
1547,125.11
1548,121.1
1549,118.1
1550,116.1
1551,114.1
1552,112.9
1553,111.8
1554,109.7
1555,107.6
1556,104.7
1557,100.15
1558,97.5
1559,93.3
1560,88.7
1561,82.2
1562,77.0
1563,72.6
1564,67.8
1565,62.13
1566,59.13
1567,55.12
1568,52.22
1569,50.18
1570,49.2
1571,47.33
1572,46.31
1573,46.32
1574,45.25
1575,45.26
1576,46.33
1577,46.34
1578,46.35
1579,46.36
1580,45.27
1581,44.26
1582,44.27
1583,46.37
1584,51.23
1585,61.6
1586,77.1
1587,99.6
1588,123.13
1589,147.4
1590,117.22
1591,112.1
1592,109.8
1593,106.6
1594,104.8
1595,103.7
1596,102.5
1597,102.6
1598,101.4
1599,100.16
1600,98.4
1601,95.9
1602,91.6
1603,87.2
1604,83.7
1605,79.11
1606,74.14
1607,70.9
1608,65.5
1609,61.7
1610,57.6
1611,54.14
1612,50.19
1613,47.34
1614,45.28
1615,43.38
1616,41.29
1617,39.27
1618,38.22
1619,37.25
1620,35.18
1621,34.17
1622,33.11
1623,32.9
1624,31.8
1625,30.7
1626,31.9
1627,36.26
1628,46.38
1629,63.8
1630,85.7
1631,109.9
1632,134.1
1633,156.5
1634,172.8
1635,97.6
1636,96.6
1637,95.1
1638,94.6
1639,94.7
1640,93.4
1641,91.7
1642,89.6
1643,86.5
1644,82.3
1645,77.2
1646,72.7
1647,67.9
1648,61.8
1649,56.18
1650,51.24
1651,46.39
1652,42.32
1653,38.23
1654,35.19
1655,32.1
1656,30.8
1657,28.2
1658,27.2
1659,27.3
1660,27.4
1661,26.3
1662,26.4
1663,26.5
1664,26.6
1665,25.0
1666,25.1
1667,24.0
1668,23.0
1669,25.2
1670,30.9
1671,41.3
1672,57.7
1673,79.12
1674,102.7
1675,126.8
1676,147.5
1677,162.2
1678,171.4
1679,174.2
1680,100.17
1681,98.5
1682,96.7
1683,94.8
1684,92.4
1685,90.9
1686,87.3
1687,85.8
1688,82.4
1689,78.6
1690,75.5
1691,71.5
1692,67.1
1693,63.9
1694,59.14
1695,56.19
1696,53.14
1697,50.2
1698,48.22
1699,46.4
1700,45.29
1701,43.39
1702,42.33
1703,40.29
1704,39.28
1705,39.29
1706,39.3
1707,38.24
1708,38.25
1709,38.26
1710,38.27
1711,37.26
1712,37.27
1713,36.27
1714,35.2
1715,36.28
1716,39.31
1717,45.3
1718,57.8
1719,73.4
1720,91.8
1721,110.5
1722,127.8
1723,140.4
1724,148.2
1725,152.4
1726,153.2
1727,150.5
1728,145.6
1729,140.5
1730,135.1
1731,130.6
1732,126.9
1733,123.14
1734,120.15
1735,118.11
1736,115.9
1737,112.11
1738,109.1
1739,106.7
1740,102.8
1741,100.18
1742,98.6
1743,96.8
1744,94.9
1745,93.5
1746,91.9
1747,90.1
1748,88.8
1749,86.6
1750,84.11
1751,81.3
1752,78.7
1753,75.6
1754,72.8
1755,69.6
1756,66.8
1757,63.1
1758,61.9
1759,59.15
1760,57.9
1761,55.13
1762,54.15
1763,52.23
1764,51.25
1765,50.21
1766,49.21
1767,48.23
1768,47.35
1769,46.41
1770,45.31
1771,45.32
1772,44.28
1773,44.29
1774,44.3
1775,43.4
1776,43.41
1777,43.42
1778,43.43
1779,46.42
1780,52.24
1781,63.11
1782,77.3
1783,94.1
1784,111.9
1785,126.1
1786,139.5
1787,146.5
1788,149.5
1789,148.3
1790,145.7
1791,140.6
1792,134.11
1793,128.6
1794,124.7
1795,120.16
1796,117.23
1797,115.1
1798,114.11
1799,112.12
1800,110.6
1801,108.9
1802,106.8
1803,104.9
1804,102.9
1805,100.19
1806,100.2
1807,99.7
1808,98.7
1809,97.7
1810,96.9
1811,94.11
1812,92.5
1813,89.7
1814,87.4
1815,84.12
1816,80.8
1817,77.4
1818,74.15
1819,71.6
1820,68.7
1821,65.6
1822,63.12
1823,60.1
1824,58.1
1825,56.2
1826,55.14
1827,54.16
1828,53.15
1829,53.16
1830,53.17
1831,53.18
1832,53.19
1833,53.2
1834,53.21
1835,53.22
1836,52.25
1837,51.26
1838,51.27
1839,51.28
1840,50.22
1841,49.22
1842,48.24
1843,48.25
1844,50.23
1845,55.15
1846,64.9
1847,77.5
1848,92.6
1849,108.1
1850,122.1
1851,134.12
1852,141.5
1853,144.6
1854,143.4
1855,140.7
1856,135.2
1857,129.1
1858,124.8
1859,119.16
1860,115.11
1861,112.13
1862,109.11
1863,107.7
1864,105.5
1865,103.8
1866,101.5
1867,100.21
1868,100.22
1869,99.8
1870,99.9
1871,99.1
1872,99.11
1873,99.12
1874,98.8
1875,96.1
1876,94.12
1877,91.1
1878,88.9
1879,85.9
1880,82.5
1881,79.13
1882,76.8
1883,73.5
1884,70.1
1885,67.11
1886,65.7
1887,63.13
1888,61.1
1889,59.16
1890,58.11
1891,57.1
1892,57.11
1893,56.21
1894,56.22
1895,55.16
1896,54.17
1897,54.18
1898,53.23
1899,53.24
1900,52.26
1901,51.29
1902,51.3
1903,50.24
1904,49.23
1905,49.24
1906,50.25
1907,54.19
1908,63.14
1909,76.9
1910,93.6
1911,110.7
1912,128.7
1913,142.7
1914,153.3
1915,158.5
1916,160.1
1917,158.6
1918,154.6
1919,149.6
1920,143.5
1921,138.5
1922,133.6
1923,129.11
1924,126.11
1925,123.15
1926,120.17
1927,117.24
1928,114.12
1929,111.1
1930,108.11
1931,105.6
1932,103.9
1933,101.6
1934,100.23
